HHIDPN,RAGENDER,RARACEM,RAEDYRS,RAEVBRN
12106010.0,1.0,2.0,9.0,1.0
12106011.0,2.0,,,
12108010.0,2.0,2.0,11.0,6.0
12112020.0,1.0,2.0,9.0,1.0
12112030.0,2.0,2.0,12.0,1.0
12118020.0,2.0,2.0,12.0,4.0
12118030.0,1.0,2.0,14.0,4.0
12124020.0,1.0,2.0,11.0,3.0
12124030.0,2.0,2.0,11.0,5.0
12135020.0,2.0,1.0,17.0,2.0
12135030.0,1.0,1.0,16.0,2.0
12139010.0,1.0,1.0,16.0,1.0
12139040.0,2.0,1.0,16.0,1.0
12140010.0,1.0,1.0,13.0,
12145010.0,1.0,1.0,16.0,2.0
12145020.0,2.0,1.0,12.0,2.0
12156010.0,1.0,2.0,14.0,2.0
12156040.0,2.0,2.0,13.0,2.0
12161010.0,2.0,2.0,14.0,3.0
12161020.0,1.0,2.0,16.0,6.0
12162010.0,2.0,2.0,13.0,0.0
12166010.0,1.0,2.0,8.0,2.0
12166040.0,2.0,2.0,12.0,
12172010.0,2.0,2.0,11.0,5.0
12172020.0,1.0,2.0,8.0,3.0
12174010.0,2.0,2.0,7.0,2.0
12174040.0,1.0,2.0,11.0,1.0
12178010.0,2.0,2.0,9.0,2.0
12179010.0,2.0,2.0,8.0,3.0
12183010.0,1.0,2.0,12.0,2.0
12195010.0,2.0,2.0,13.0,2.0
12196010.0,2.0,2.0,10.0,0.0
12196020.0,1.0,3.0,12.0,3.0
12218010.0,1.0,1.0,12.0,5.0
12218020.0,2.0,1.0,12.0,5.0
12223020.0,2.0,1.0,12.0,2.0
12223030.0,1.0,1.0,17.0,
12232010.0,1.0,1.0,12.0,3.0
12232040.0,2.0,1.0,12.0,3.0
12235010.0,1.0,1.0,12.0,2.0
12235040.0,2.0,1.0,12.0,2.0
12242010.0,1.0,1.0,13.0,2.0
12242020.0,2.0,1.0,12.0,2.0
12243020.0,1.0,1.0,12.0,2.0
12243030.0,2.0,1.0,12.0,2.0
12252010.0,1.0,1.0,14.0,3.0
12252020.0,2.0,1.0,12.0,3.0
12257010.0,1.0,2.0,9.0,7.0
12257040.0,2.0,2.0,12.0,5.0
12273010.0,2.0,1.0,12.0,3.0
12273040.0,1.0,1.0,17.0,3.0
12274010.0,1.0,1.0,17.0,5.0
12274020.0,2.0,1.0,16.0,5.0
12276020.0,2.0,1.0,14.0,3.0
12276030.0,1.0,1.0,12.0,3.0
12276031.0,2.0,1.0,17.0,2.0
12278030.0,1.0,2.0,17.0,
12280020.0,2.0,1.0,17.0,0.0
